SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,SEASON
42022,1610612748,MIA,Miami Heat,0042200104,2023-04-24,MIA vs. MIL,W,239,119,43,87,0.494,13,32,0.406,20,25,0.8,9,38,47,21,9,5,15,20,5.0,2022-23
42022,1610612749,MIL,Milwaukee Bucks,0042200104,2023-04-24,MIL @ MIA,L,240,114,42,97,0.433,13,40,0.325,17,20,0.85,16,30,46,28,10,6,14,20,-5.0,2022-23
42022,1610612752,NYK,New York Knicks,0042200134,2023-04-23,NYK vs. CLE,W,240,102,38,84,0.452,8,29,0.276,18,28,0.643,17,30,47,15,5,7,10,15,9.0,2022-23
42022,1610612739,CLE,Cleveland Cavaliers,0042200134,2023-04-23,CLE @ NYK,L,240,93,36,77,0.468,6,23,0.261,15,19,0.789,7,26,33,24,3,5,12,23,-9.0,2022-23
42022,1610612737,ATL,Atlanta Hawks,0042200114,2023-04-23,ATL vs. BOS,L,240,121,43,98,0.439,14,37,0.378,21,24,0.875,11,31,42,25,8,4,12,24,-8.0,2022-23
42022,1610612738,BOS,Boston Celtics,0042200114,2023-04-23,BOS @ ATL,W,240,129,46,89,0.517,16,40,0.4,21,25,0.84,9,40,49,25,4,5,16,23,8.0,2022-23
42022,1610612749,MIL,Milwaukee Bucks,0042200103,2023-04-22,MIL @ MIA,L,239,99,38,85,0.447,15,39,0.385,8,12,0.667,8,29,37,22,7,3,18,15,-22.0,2022-23
42022,1610612748,MIA,Miami Heat,0042200103,2023-04-22,MIA vs. MIL,W,240,121,45,84,0.536,16,33,0.485,15,17,0.882,8,36,44,22,13,4,13,18,22.0,2022-23
42022,1610612751,BKN,Brooklyn Nets,0042200124,2023-04-22,BKN vs. PHI,L,241,88,33,80,0.413,9,37,0.243,13,19,0.684,5,33,38,20,3,6,10,14,-8.0,2022-23
42022,1610612755,PHI,Philadelphia 76ers,0042200124,2023-04-22,PHI @ BKN,W,239,96,36,91,0.396,9,24,0.375,15,16,0.938,15,39,54,19,7,3,8,19,8.0,2022-23
42022,1610612752,NYK,New York Knicks,0042200133,2023-04-21,NYK vs. CLE,W,241,99,39,83,0.47,10,33,0.303,11,18,0.611,11,34,45,21,14,5,14,17,20.0,2022-23
42022,1610612737,ATL,Atlanta Hawks,0042200113,2023-04-21,ATL vs. BOS,W,240,130,51,91,0.56,15,34,0.441,13,16,0.813,11,37,48,24,5,6,18,15,8.0,2022-23
42022,1610612739,CLE,Cleveland Cavaliers,0042200133,2023-04-21,CLE @ NYK,L,241,79,31,80,0.388,7,33,0.212,10,17,0.588,13,29,42,16,7,4,20,18,-20.0,2022-23
42022,1610612738,BOS,Boston Celtics,0042200113,2023-04-21,BOS @ ATL,L,240,122,45,92,0.489,21,48,0.438,11,16,0.688,6,23,29,31,11,0,12,17,-8.0,2022-23
42022,1610612755,PHI,Philadelphia 76ers,0042200123,2023-04-20,PHI @ BKN,W,239,102,40,82,0.488,13,31,0.419,9,13,0.692,11,35,46,15,5,3,14,17,5.0,2022-23
42022,1610612751,BKN,Brooklyn Nets,0042200123,2023-04-20,BKN vs. PHI,L,240,97,34,79,0.43,10,30,0.333,19,22,0.864,8,26,34,22,5,3,8,13,-5.0,2022-23
42022,1610612749,MIL,Milwaukee Bucks,0042200102,2023-04-19,MIL vs. MIA,W,239,138,53,99,0.535,25,49,0.51,7,8,0.875,9,36,45,35,9,4,11,16,16.0,2022-23
42022,1610612748,MIA,Miami Heat,0042200102,2023-04-19,MIA @ MIL,L,239,122,45,84,0.536,16,36,0.444,16,23,0.696,7,34,41,26,10,2,17,9,-16.0,2022-23
42022,1610612752,NYK,New York Knicks,0042200132,2023-04-18,NYK @ CLE,L,240,90,29,79,0.367,7,29,0.241,25,30,0.833,13,23,36,16,14,5,17,18,-17.0,2022-23
42022,1610612737,ATL,Atlanta Hawks,0042200112,2023-04-18,ATL @ BOS,L,241,106,43,101,0.426,16,48,0.333,4,8,0.5,19,30,49,21,10,4,15,11,-13.0,2022-23
42022,1610612739,CLE,Cleveland Cavaliers,0042200132,2023-04-18,CLE vs. NYK,W,240,107,38,77,0.494,14,33,0.424,17,21,0.81,11,32,43,26,10,7,17,22,17.0,2022-23
42022,1610612738,BOS,Boston Celtics,0042200112,2023-04-18,BOS vs. ATL,W,241,119,48,86,0.558,15,33,0.455,8,10,0.8,5,39,44,28,10,12,14,8,13.0,2022-23
42022,1610612751,BKN,Brooklyn Nets,0042200122,2023-04-17,BKN @ PHI,L,240,84,30,80,0.375,13,42,0.31,11,17,0.647,5,28,33,24,10,1,9,20,-12.0,2022-23
42022,1610612755,PHI,Philadelphia 76ers,0042200122,2023-04-17,PHI vs. BKN,W,239,96,36,80,0.45,11,35,0.314,13,16,0.813,13,43,56,21,8,7,19,22,12.0,2022-23
42022,1610612748,MIA,Miami Heat,0042200101,2023-04-16,MIA @ MIL,W,240,130,50,84,0.595,15,25,0.6,15,21,0.714,4,32,36,32,6,1,15,24,13.0,2022-23
42022,1610612749,MIL,Milwaukee Bucks,0042200101,2023-04-16,MIL vs. MIA,L,241,117,45,91,0.495,11,45,0.244,16,22,0.727,8,30,38,29,3,4,13,22,-13.0,2022-23
42022,1610612751,BKN,Brooklyn Nets,0042200121,2023-04-15,BKN @ PHI,L,238,101,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,-20.0,2022-23
42022,1610612738,BOS,Boston Celtics,0042200111,2023-04-15,BOS vs. ATL,W,240,112,42,88,0.477,13,33,0.394,15,18,0.833,12,46,58,25,6,7,16,15,13.0,2022-23
42022,1610612755,PHI,Philadelphia 76ers,0042200121,2023-04-15,PHI vs. BKN,W,240,121,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,20.0,2022-23
42022,1610612739,CLE,Cleveland Cavaliers,0042200131,2023-04-15,CLE vs. NYK,L,241,97,36,83,0.434,10,31,0.323,15,21,0.714,11,27,38,20,9,2,14,17,-4.0,2022-23
42022,1610612737,ATL,Atlanta Hawks,0042200111,2023-04-15,ATL @ BOS,L,241,99,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,-13.0,2022-23
42022,1610612752,NYK,New York Knicks,0042200131,2023-04-15,NYK @ CLE,W,240,101,37,88,0.42,8,29,0.276,19,22,0.864,17,34,51,18,11,1,13,20,4.0,2022-23
42023,1610612738,BOS,Boston Celtics,0042300405,2024-06-17,BOS vs. DAL,W,240,106,38,89,0.427,13,39,0.333,17,20,0.85,15,36,51,25,9,2,7,15,18.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300404,2024-06-14,BOS @ DAL,L,239,84,29,80,0.363,14,41,0.341,12,13,0.923,4,27,31,18,2,5,13,19,-38.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300403,2024-06-12,BOS @ DAL,W,240,106,38,82,0.463,17,46,0.37,13,14,0.929,6,30,36,26,4,6,9,19,7.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300402,2024-06-09,BOS vs. DAL,W,239,105,38,84,0.452,10,39,0.256,19,20,0.95,10,31,41,29,10,5,10,15,7.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300401,2024-06-06,BOS vs. DAL,W,241,107,39,82,0.476,16,42,0.381,13,19,0.684,10,37,47,23,6,9,12,16,18.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300304,2024-05-27,IND vs. BOS,L,240,102,40,87,0.46,10,29,0.345,12,16,0.75,13,34,47,24,5,4,14,19,-3.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300304,2024-05-27,BOS @ IND,W,240,105,40,89,0.449,14,44,0.318,11,14,0.786,12,32,44,22,10,6,11,18,3.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300303,2024-05-25,IND vs. BOS,L,239,111,46,91,0.505,5,22,0.227,14,14,1.0,9,34,43,32,4,1,11,21,-3.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300303,2024-05-25,BOS @ IND,W,239,114,39,83,0.47,16,46,0.348,20,26,0.769,7,29,36,24,7,12,7,18,3.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300302,2024-05-23,BOS vs. IND,W,239,126,47,88,0.534,15,37,0.405,17,20,0.85,13,27,40,28,9,2,10,16,16.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300302,2024-05-23,IND @ BOS,L,240,110,44,84,0.524,11,29,0.379,11,16,0.688,12,25,37,23,5,2,16,23,-16.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300301,2024-05-21,IND @ BOS,L,265,128,53,99,0.535,13,35,0.371,9,10,0.9,10,34,44,38,8,4,21,23,-5.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300301,2024-05-21,BOS vs. IND,W,265,133,47,99,0.475,15,45,0.333,24,30,0.8,13,30,43,30,11,5,14,15,5.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300217,2024-05-19,NYK vs. IND,L,241,109,36,85,0.424,13,35,0.371,24,27,0.889,9,19,28,22,5,2,8,17,-21.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300217,2024-05-19,IND @ NYK,W,241,130,53,79,0.671,13,24,0.542,11,16,0.688,7,26,33,33,7,9,12,22,21.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300216,2024-05-17,NYK @ IND,L,241,103,36,82,0.439,13,34,0.382,18,26,0.692,13,22,35,20,6,5,7,15,-13.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300216,2024-05-17,IND vs. NYK,W,239,116,49,91,0.538,9,26,0.346,9,13,0.692,14,33,47,35,3,8,8,21,13.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300205,2024-05-15,BOS vs. CLE,W,239,113,42,80,0.525,19,43,0.442,10,12,0.833,11,32,43,32,6,6,12,15,15.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300205,2024-05-15,CLE @ BOS,L,241,98,38,79,0.481,13,31,0.419,9,12,0.75,6,22,28,25,5,2,10,16,-15.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300215,2024-05-14,NYK vs. IND,W,240,121,47,101,0.465,12,35,0.343,15,19,0.789,20,33,53,26,7,5,9,22,30.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300215,2024-05-14,IND @ NYK,L,238,91,31,72,0.431,12,27,0.444,17,22,0.773,5,24,29,24,5,6,18,19,-30.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300204,2024-05-13,BOS @ CLE,W,239,109,38,78,0.487,12,32,0.375,21,24,0.875,10,38,48,15,6,4,14,12,7.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300204,2024-05-13,CLE vs. BOS,L,241,102,41,94,0.436,15,48,0.313,5,7,0.714,8,24,32,26,8,3,7,17,-7.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300214,2024-05-12,IND vs. NYK,W,239,121,50,88,0.568,14,31,0.452,7,8,0.875,9,43,52,31,9,7,14,25,32.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300214,2024-05-12,NYK @ IND,L,241,89,30,89,0.337,7,37,0.189,22,31,0.71,16,27,43,18,8,2,12,12,-32.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300203,2024-05-11,BOS @ CLE,W,241,106,41,80,0.513,13,34,0.382,11,14,0.786,9,35,44,22,3,4,11,14,13.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300203,2024-05-11,CLE vs. BOS,L,241,93,36,84,0.429,12,36,0.333,9,10,0.9,7,28,35,17,4,2,8,14,-13.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300213,2024-05-10,IND vs. NYK,W,240,111,42,89,0.472,12,32,0.375,15,18,0.833,13,29,42,22,6,6,10,20,5.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300213,2024-05-10,NYK @ IND,L,240,106,38,80,0.475,14,27,0.519,16,22,0.727,10,31,41,19,6,6,13,18,-5.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300202,2024-05-09,CLE @ BOS,W,239,118,47,86,0.547,13,28,0.464,11,16,0.688,7,37,44,24,4,3,10,20,24.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300202,2024-05-09,BOS vs. CLE,L,240,94,33,80,0.413,8,35,0.229,20,24,0.833,6,25,31,22,5,3,7,15,-24.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300212,2024-05-08,NYK vs. IND,W,240,130,49,86,0.57,14,30,0.467,18,22,0.818,12,32,44,28,5,3,9,14,9.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300212,2024-05-08,IND @ NYK,L,241,121,48,93,0.516,15,34,0.441,10,17,0.588,14,20,34,33,5,3,9,17,-9.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300201,2024-05-07,CLE @ BOS,L,241,95,37,90,0.411,11,42,0.262,10,13,0.769,7,31,38,19,2,3,5,18,-25.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300201,2024-05-07,BOS vs. CLE,W,240,120,45,92,0.489,18,46,0.391,12,14,0.857,13,42,55,22,2,7,6,13,25.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300211,2024-05-06,NYK vs. IND,W,241,121,44,82,0.537,11,23,0.478,22,26,0.846,8,32,40,25,5,4,14,19,4.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300211,2024-05-06,IND @ NYK,L,240,117,46,88,0.523,10,26,0.385,15,19,0.789,7,25,32,32,9,5,7,22,-4.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300137,2024-05-05,CLE vs. ORL,W,239,106,34,77,0.442,8,24,0.333,30,36,0.833,10,38,48,19,8,8,14,23,12.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300137,2024-05-05,ORL @ CLE,L,241,94,29,86,0.337,10,31,0.323,26,30,0.867,18,31,49,17,11,4,17,32,-12.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300136,2024-05-03,ORL vs. CLE,W,240,103,35,89,0.393,11,36,0.306,22,26,0.846,15,33,48,19,6,4,13,15,7.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300136,2024-05-03,CLE @ ORL,L,239,96,42,86,0.488,7,28,0.25,5,10,0.5,7,31,38,15,8,10,13,23,-7.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300126,2024-05-02,MIL @ IND,L,242,98,35,83,0.422,7,27,0.259,21,32,0.656,15,25,40,19,4,0,12,18,-22.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300126,2024-05-02,IND vs. MIL,W,240,120,46,85,0.541,13,40,0.325,15,17,0.882,7,37,44,33,7,3,10,26,22.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300116,2024-05-02,NYK @ PHI,W,240,118,43,93,0.462,14,31,0.452,18,24,0.75,20,28,48,28,6,8,9,17,3.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300116,2024-05-02,PHI vs. NYK,L,240,115,38,87,0.437,17,40,0.425,22,23,0.957,16,30,46,20,6,5,11,22,-3.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300105,2024-05-01,BOS vs. MIA,W,239,118,42,77,0.545,16,40,0.4,18,27,0.667,8,48,56,23,5,3,14,15,34.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300105,2024-05-01,MIA @ BOS,L,239,84,36,87,0.414,3,29,0.103,9,10,0.9,2,27,29,20,4,0,6,17,-34.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300125,2024-04-30,IND @ MIL,L,240,92,36,81,0.444,12,38,0.316,8,13,0.615,10,26,36,25,3,3,12,18,-23.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300135,2024-04-30,CLE vs. ORL,W,241,104,38,88,0.432,13,37,0.351,15,19,0.789,8,31,39,23,9,3,10,25,1.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300125,2024-04-30,MIL vs. IND,W,240,115,44,84,0.524,11,29,0.379,16,20,0.8,11,33,44,23,8,4,10,15,23.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300115,2024-04-30,NYK vs. PHI,L,265,106,40,86,0.465,10,36,0.278,16,24,0.667,6,34,40,19,10,8,14,19,-6.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300135,2024-04-30,ORL @ CLE,L,240,103,36,78,0.462,9,31,0.29,22,29,0.759,7,36,43,17,5,7,14,17,-1.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300115,2024-04-30,PHI @ NYK,W,265,112,42,91,0.462,15,39,0.385,13,19,0.684,12,34,46,28,5,7,16,23,6.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300104,2024-04-29,MIA vs. BOS,L,240,88,35,86,0.407,9,33,0.273,9,12,0.75,8,34,42,17,4,3,13,18,-14.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300104,2024-04-29,BOS @ MIA,W,240,102,36,86,0.419,14,37,0.378,16,18,0.889,11,35,46,21,5,3,10,20,14.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300124,2024-04-28,MIL @ IND,L,239,113,46,90,0.511,12,33,0.364,9,14,0.643,7,35,42,26,5,4,9,18,-13.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300114,2024-04-28,NYK @ PHI,W,241,97,37,86,0.43,7,27,0.259,16,26,0.615,15,37,52,19,1,11,12,19,5.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300114,2024-04-28,PHI vs. NYK,L,240,92,29,82,0.354,9,33,0.273,25,29,0.862,9,33,42,23,5,5,8,24,-5.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300124,2024-04-28,IND vs. MIL,W,242,126,46,89,0.517,22,43,0.512,12,18,0.667,5,33,38,33,5,6,7,18,13.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300103,2024-04-27,BOS @ MIA,W,239,104,39,82,0.476,11,37,0.297,15,21,0.714,10,33,43,22,4,6,5,16,20.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300134,2024-04-27,CLE @ ORL,L,241,89,34,72,0.472,4,17,0.235,17,21,0.81,2,27,29,24,10,3,15,20,-23.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300103,2024-04-27,MIA vs. BOS,L,241,84,32,77,0.416,9,28,0.321,11,14,0.786,9,27,36,21,2,2,12,14,-20.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300134,2024-04-27,ORL vs. CLE,W,240,112,43,77,0.558,12,26,0.462,14,19,0.737,8,35,43,24,7,6,17,19,23.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300123,2024-04-26,MIL @ IND,L,264,118,41,88,0.466,10,31,0.323,26,27,0.963,11,32,43,20,6,2,11,26,-3.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300123,2024-04-26,IND vs. MIL,W,266,121,45,105,0.429,13,49,0.265,18,24,0.75,19,31,50,32,5,4,8,20,3.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300133,2024-04-25,ORL vs. CLE,W,242,121,47,92,0.511,13,37,0.351,14,16,0.875,14,37,51,24,7,3,8,21,38.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300113,2024-04-25,PHI vs. NYK,W,240,125,41,75,0.547,15,31,0.484,28,33,0.848,8,28,36,24,6,8,10,18,11.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300113,2024-04-25,NYK @ PHI,L,238,114,44,90,0.489,13,30,0.433,13,19,0.684,11,21,32,27,4,3,9,25,-11.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300133,2024-04-25,CLE @ ORL,L,239,83,32,82,0.39,8,34,0.235,11,13,0.846,5,27,32,24,2,8,14,16,-38.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300102,2024-04-24,MIA @ BOS,W,240,111,37,75,0.493,23,43,0.535,14,18,0.778,4,36,40,25,9,1,12,22,10.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300102,2024-04-24,BOS vs. MIA,L,239,101,37,80,0.463,12,32,0.375,15,21,0.714,6,33,39,21,9,8,12,17,-10.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300122,2024-04-23,MIL vs. IND,L,240,108,38,86,0.442,13,32,0.406,19,21,0.905,8,32,40,24,4,4,7,13,-17.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300122,2024-04-23,IND @ MIL,W,240,125,50,90,0.556,16,36,0.444,9,14,0.643,7,38,45,38,3,6,5,18,17.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300132,2024-04-22,ORL @ CLE,L,241,86,29,80,0.363,9,35,0.257,19,26,0.731,11,30,41,18,8,5,16,22,-10.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300112,2024-04-22,PHI @ NYK,L,241,101,36,84,0.429,13,36,0.361,16,22,0.727,10,34,44,26,3,6,10,21,-3.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300112,2024-04-22,NYK vs. PHI,W,241,104,37,91,0.407,11,33,0.333,19,23,0.826,12,34,46,22,5,6,7,17,3.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300132,2024-04-22,CLE vs. ORL,W,240,96,34,82,0.415,12,39,0.308,16,26,0.615,15,33,48,18,11,6,15,24,10.0,2023-24
42023,1610612749,MIL,Milwaukee Bucks,0042300121,2024-04-21,MIL vs. IND,W,241,109,41,87,0.471,14,37,0.378,13,13,1.0,5,42,47,21,5,5,10,22,15.0,2023-24
42023,1610612748,MIA,Miami Heat,0042300101,2024-04-21,MIA @ BOS,L,241,94,38,81,0.469,12,37,0.324,6,6,1.0,5,29,34,23,4,1,9,13,-20.0,2023-24
42023,1610612738,BOS,Boston Celtics,0042300101,2024-04-21,BOS vs. MIA,W,239,114,39,82,0.476,22,49,0.449,14,16,0.875,10,34,44,27,6,6,10,10,20.0,2023-24
42023,1610612754,IND,Indiana Pacers,0042300121,2024-04-21,IND @ MIL,L,240,94,36,91,0.396,8,38,0.211,14,21,0.667,14,36,50,20,4,5,12,16,-15.0,2023-24
42023,1610612755,PHI,Philadelphia 76ers,0042300111,2024-04-20,PHI @ NYK,L,241,104,36,81,0.444,12,35,0.343,20,22,0.909,9,24,33,17,8,7,11,21,-7.0,2023-24
42023,1610612753,ORL,Orlando Magic,0042300131,2024-04-20,ORL @ CLE,L,241,83,28,86,0.326,8,37,0.216,19,30,0.633,11,29,40,16,12,7,12,25,-14.0,2023-24
42023,1610612752,NYK,New York Knicks,0042300111,2024-04-20,NYK vs. PHI,W,239,111,36,91,0.396,16,35,0.457,23,28,0.821,23,32,55,20,6,7,11,18,7.0,2023-24
42023,1610612739,CLE,Cleveland Cavaliers,0042300131,2024-04-20,CLE vs. ORL,W,240,97,36,81,0.444,8,30,0.267,17,21,0.81,10,44,54,21,9,4,17,21,14.0,2023-24
